feature_group,importance,importance_pct
sttl,0.08339084572725387,8.339084572725387
ct_state_ttl,0.05798624066556459,5.7986240665564575
sload,0.05278150839990266,5.278150839990264
rate,0.052005666334109614,5.20056663341096
dload,0.05046467167726589,5.046467167726588
state,0.04047453397826258,4.047453397826257
dpkts,0.03838639845058458,3.838639845058457
sbytes,0.03771102894372912,3.7711028943729117
dttl,0.03486621336999917,3.4866213369999164
smean,0.034488723700942275,3.448872370094227
ct_srv_dst,0.03405818897906187,3.4058188979061863
dbytes,0.0329040344719294,3.290403447192939
ct_dst_src_ltm,0.03241922774713094,3.2419227747130934
dur,0.030462114316898534,3.0462114316898528
synack,0.030230057328789996,3.0230057328789988
ct_srv_src,0.030070183052851446,3.007018305285144
ackdat,0.029956978177005128,2.995697817700512
tcprtt,0.02982303289996911,2.9823032899969104
sinpkt,0.025483251023163938,2.5483251023163933
dinpkt,0.021918585426676854,2.191858542667685
dmean,0.021886529442533494,2.188652944253349
proto,0.020827406173592636,2.0827406173592635
djit,0.01943936930535601,1.9439369305356007
sjit,0.01935727627716109,1.9357276277161086
ct_dst_sport_ltm,0.016671650505276712,1.667165050527671
ct_src_ltm,0.014798681208560958,1.4798681208560955
service,0.014427947631320265,1.4427947631320261
sloss,0.011403401516725548,1.1403401516725546
spkts,0.011136831533415877,1.1136831533415876
dloss,0.010754263828475087,1.0754263828475086
swin,0.009607918365479208,0.9607918365479206
ct_src_dport_ltm,0.009511234100410748,0.9511234100410746
stcpb,0.008883396101564266,0.8883396101564264
ct_dst_ltm,0.00871218207191363,0.8712182071913629
dtcpb,0.008110257188187224,0.8110257188187222
is_sm_ips_ports,0.005618497515695138,0.5618497515695137
response_body_len,0.002683171391191342,0.2683171391191342
ct_flw_http_mthd,0.0022199495147822504,0.22199495147822498
dwin,0.0019242253011657448,0.19242253011657443
trans_depth,0.0017654145034007808,0.17654145034007804
is_ftp_login,0.00019328431377712156,0.01932843137771215
ct_ftp_cmd,0.00018562753892346751,0.018562753892346746
