feature,raw_feature,importance
proto_pup,categorical__proto_pup,1.0212397818193276e-06
proto_sm,categorical__proto_sm,1.0135690087183205e-06
proto_iatp,categorical__proto_iatp,8.585277588567149e-07
proto_ifmp,categorical__proto_ifmp,8.389759439495931e-07
proto_qnx,categorical__proto_qnx,7.853417588155008e-07
proto_narp,categorical__proto_narp,7.726051776071353e-07
proto_micp,categorical__proto_micp,7.596578467539627e-07
proto_tp++,categorical__proto_tp++,6.824169201480715e-07
proto_igp,categorical__proto_igp,6.530037097444187e-07
proto_bbn-rcc,categorical__proto_bbn-rcc,5.857563091567317e-07
proto_argus,categorical__proto_argus,5.848058378618607e-07
proto_cpnx,categorical__proto_cpnx,5.829586906658584e-07
proto_a/n,categorical__proto_a/n,5.325485575538776e-07
proto_trunk-1,categorical__proto_trunk-1,5.254067645860865e-07
proto_xns-idp,categorical__proto_xns-idp,5.089222768716279e-07
proto_wsn,categorical__proto_wsn,5.080170865743834e-07
proto_iplt,categorical__proto_iplt,4.971465984681625e-07
proto_dgp,categorical__proto_dgp,4.871302759528075e-07
proto_trunk-2,categorical__proto_trunk-2,4.670018611886694e-07
proto_leaf-2,categorical__proto_leaf-2,4.4285181567563577e-07
proto_zero,categorical__proto_zero,4.3758967637980024e-07
proto_fc,categorical__proto_fc,4.289058947797826e-07
proto_ib,categorical__proto_ib,4.0972478264209875e-07
proto_ipv6-no,categorical__proto_ipv6-no,3.9907424011883815e-07
proto_skip,categorical__proto_skip,3.8982524786829025e-07
proto_merit-inp,categorical__proto_merit-inp,3.8973869073975337e-07
proto_wb-expak,categorical__proto_wb-expak,3.7524306696474704e-07
proto_vmtp,categorical__proto_vmtp,3.728657848904193e-07
proto_srp,categorical__proto_srp,3.723162078798657e-07
proto_larp,categorical__proto_larp,3.700935042508735e-07
proto_aris,categorical__proto_aris,3.623922257922587e-07
proto_pvp,categorical__proto_pvp,3.5868134095293485e-07
proto_rdp,categorical__proto_rdp,3.526096103863053e-07
proto_3pc,categorical__proto_3pc,3.4685951046025334e-07
proto_kryptolan,categorical__proto_kryptolan,3.3722858963636725e-07
proto_leaf-1,categorical__proto_leaf-1,3.104632358581058e-07
proto_br-sat-mon,categorical__proto_br-sat-mon,3.0142690368201797e-07
proto_ggp,categorical__proto_ggp,2.9748349331939194e-07
proto_idrp,categorical__proto_idrp,2.90516018374154e-07
proto_secure-vmtp,categorical__proto_secure-vmtp,2.7912637124166507e-07
proto_gmtp,categorical__proto_gmtp,2.7843005232825556e-07
proto_smp,categorical__proto_smp,2.6889980151435403e-07
proto_ipv6-opts,categorical__proto_ipv6-opts,2.679514401986327e-07
proto_sat-expak,categorical__proto_sat-expak,2.677280604501815e-07
proto_ipcomp,categorical__proto_ipcomp,2.6595674479265076e-07
proto_eigrp,categorical__proto_eigrp,2.443859578231942e-07
proto_idpr,categorical__proto_idpr,2.4154408066143374e-07
proto_l2tp,categorical__proto_l2tp,2.37447575464111e-07
proto_pipe,categorical__proto_pipe,2.3620338065039114e-07
proto_ippc,categorical__proto_ippc,2.3537991295577266e-07
proto_mfe-nsp,categorical__proto_mfe-nsp,2.3430842272246943e-07
proto_ipx-n-ip,categorical__proto_ipx-n-ip,2.2362100996852137e-07
proto_ipnip,categorical__proto_ipnip,2.1477483631400488e-07
proto_irtp,categorical__proto_irtp,1.9388356983939138e-07
proto_sdrp,categorical__proto_sdrp,1.9253318578155069e-07
proto_stp,categorical__proto_stp,1.6546440510963067e-07
proto_vines,categorical__proto_vines,1.5038352316328346e-07
proto_tlsp,categorical__proto_tlsp,1.4742900234017565e-07
proto_sat-mon,categorical__proto_sat-mon,1.376416277770882e-07
proto_dcn,categorical__proto_dcn,1.303645774613363e-07
proto_sccopmce,categorical__proto_sccopmce,1.3011565083401498e-07
proto_tcf,categorical__proto_tcf,1.0972971765869868e-07
proto_cftp,categorical__proto_cftp,1.0169424548587487e-07
proto_pnni,categorical__proto_pnni,9.644593011151622e-08
proto_isis,categorical__proto_isis,9.141021204717931e-08
proto_scps,categorical__proto_scps,7.395192037469594e-08
proto_prm,categorical__proto_prm,7.333760703049866e-08
proto_iso-ip,categorical__proto_iso-ip,7.201846393693381e-08
proto_hmp,categorical__proto_hmp,6.065137808121942e-08
proto_sps,categorical__proto_sps,4.744063532067057e-08
proto_ttp,categorical__proto_ttp,4.661023330808971e-08
proto_snp,categorical__proto_snp,3.715022540464471e-08
proto_ipip,categorical__proto_ipip,3.29641588960351e-08
proto_sprite-rpc,categorical__proto_sprite-rpc,2.7538608757502273e-08
proto_pri-enc,categorical__proto_pri-enc,2.2581256378933617e-08
proto_aes-sp3-d,categorical__proto_aes-sp3-d,2.009700556504364e-08
proto_encap,categorical__proto_encap,4.829140146115563e-09
proto_crtp,categorical__proto_crtp,3.765073404779821e-09
proto_crudp,categorical__proto_crudp,3.3618680920924316e-10
